VA4,motor
VA5,motor
VA6,motor
VA7,motor
VA8,motor
VA9,motor
VB1,sensory motor
VB10,sensory motor
VB11,sensory motor
VB2,sensory motor
VB3,sensory motor
VB4,sensory motor
VB5,sensory motor
VB6,sensory motor
VB7,sensory motor
VB8,sensory motor
VB9,sensory motor
VC1,motor
VC2,motor
VC3,motor
VC4,motor
VC5,motor
VC6,motor
VD1,motor
VD10,motor
VD11,motor
VD12,motor
VD13,motor
VD2,motor
VD3,motor
VD4,motor
VD5,motor
VD6,motor
VD7,motor
VD8,motor
VD9,motor
